id,EAP,HPL,MWS
id02310,0.0225056242198,0.0178130026907,0.959681332111
id24541,0.997208535671,0.0027902664151,1.21480491089e-06
id00134,0.000932249589823,0.996916770935,0.00215107714757
id27757,0.952803611755,0.0447228327394,0.00247345585376
id04081,0.582062363625,0.238837331533,0.179100319743
id27337,0.966433167458,0.0331220291555,0.000444820645498
id24265,0.972296893597,0.0230101011693,0.00469302525744
id25917,0.0309134330601,0.249228432775,0.719858169556
id04951,0.999841213226,0.000151844506036,6.90117349222e-06
id14549,0.951058745384,0.00531528703868,0.0436259992421
id22505,0.00169692654163,0.028578357771,0.969724774361
id24002,1.74393662746e-05,0.999962806702,1.98360867216e-05
id18982,0.0174388159066,0.455885797739,0.526675343513
id15181,0.0146936960518,0.983604133129,0.00170216022525
id21888,0.497179120779,0.0253377128392,0.477483212948
id12035,0.00855571776628,0.00236142752692,0.989082932472
id17991,0.45141518116,0.0120307141915,0.536554098129
id10707,0.999997735023,1.19624928629e-06,1.08624919903e-06
id07101,0.41239118576,0.0307179111987,0.556890904903
id00345,0.926529765129,0.065800011158,0.00767014734447
id05912,0.915563285351,0.0532487146556,0.0311880670488
id13443,0.869288504124,0.0491290055215,0.0815825238824
id09248,0.348897665739,0.0455369390547,0.605565369129
id17542,0.212826237082,0.62971329689,0.157460451126
id06995,0.0231241043657,0.000266232644208,0.976609647274
id25159,0.306912750006,0.0362779013813,0.656809270382
id25729,0.459796488285,0.466319054365,0.0738844498992
id26949,0.974772572517,0.0164014156908,0.00882606115192
id27191,0.00949293654412,0.00033645494841,0.990170657635
id07668,0.110713019967,0.000831046898384,0.888455927372
id02230,0.0190404430032,0.199101030827,0.781858563423
id15553,0.999999523163,1.32892736815e-07,3.86087094739e-07
id25688,0.000908509013243,0.995311081409,0.00378042529337
id17545,0.967764854431,0.0264479722828,0.00578711507842
id13929,0.220029875636,0.346163243055,0.433806926012
id12880,0.352558046579,0.492671132088,0.154770791531
id19282,0.570705533028,0.259601026773,0.1696934551
id14690,0.00217615370639,0.00375401368365,0.994069814682
id17975,0.0513880848885,0.919840812683,0.0287711545825
id08037,0.994474709034,0.00216316990554,0.00336209288798
id15412,0.304789692163,0.00388409174047,0.691326200962
id25032,0.398466140032,0.106409937143,0.495123952627
id27165,0.99972397089,0.000167687801877,0.000108310763608
id03327,0.773996710777,0.209925204515,0.0160780586302
id18515,0.913024783134,0.0183785222471,0.0685966014862
id21003,0.147175237536,0.0119424369186,0.840882301331
id23855,0.00125976023264,0.919716894627,0.0790233314037
id20724,0.834227561951,0.0830378606915,0.0827346071601
id13303,0.524034917355,0.0270539037883,0.448911160231
id16521,0.000670468492899,0.091078966856,0.908250629902
id20775,0.999998211861,1.74073250037e-06,4.40185878858e-08
id13029,0.992798089981,0.00238253804855,0.00481933541596
id14660,0.89961618185,0.0916154310107,0.00876840669662
id11028,0.00419572275132,0.000234363673371,0.995569884777
id14180,0.997198820114,0.00172852573451,0.0010726157343
id25860,0.999998211861,1.66850577443e-06,1.34000771368e-07
id11910,0.452329456806,0.0247365571558,0.52293407917
id08065,0.0419698767364,0.0214444156736,0.936585724354
id22674,0.000441691372544,0.000554295314942,0.99900406599
id25018,0.400617688894,0.00109233451076,0.598290026188
id10892,0.000573024153709,0.999372422695,5.45671537111e-05
id10217,0.724362194538,0.26092210412,0.0147157069296
id12996,0.204008489847,0.128818944097,0.66717261076
id18262,0.40663599968,0.361218512058,0.232145503163
id08606,5.82373540965e-05,0.999783217907,0.000158494673087
id17233,0.861579418182,0.0446243174374,0.0937962979078
id00101,0.648927748203,0.324590712786,0.0264814887196
id12225,0.701847314835,0.133647531271,0.164505198598
id01364,0.00743568502367,0.991327345371,0.00123688334133
id24973,0.918955266476,0.002285258146,0.0787594243884
id25363,0.869726419449,3.51550488631e-06,0.130270078778
id10061,0.0941722095013,0.0783888921142,0.827438890934
id17673,0.637841701508,0.106971561909,0.255186825991
id13249,0.220591232181,0.153917267919,0.625491499901
id10107,0.0682553350925,0.0212257560343,0.910518884659
id04403,0.993301033974,0.000207156379474,0.00649182591587
id25728,0.8927744627,0.0242567881942,0.0829688236117
id16184,0.303426027298,0.0407968573272,0.655777156353
id03438,0.21882866323,0.00129061855841,0.7798807621
id22923,0.0170092061162,0.980675816536,0.00231490912847
id08610,0.999153733253,0.000165882316651,0.000680382130668
id25355,0.0926369801164,0.0185644906014,0.888798475266
id16916,0.582792699337,0.392595618963,0.0246117152274
id12793,0.0113905621693,0.986591160297,0.00201822817326
id11859,0.823446273804,0.0121466899291,0.164407014847
id02434,1.0,1.77130998757e-09,4.54565052266e-09
id27703,2.23788556468e-05,4.47862548754e-05,0.99993288517
id25212,0.00208838190883,0.981464803219,0.0164469238371
id11308,0.0545911379158,0.128834635019,0.816574215889
id26094,0.990605056286,0.00526904687285,0.00412586797029
id22080,0.733546674252,0.254220843315,0.0122324656695
id03545,0.955266952515,0.0441378578544,0.000595247838646
id23725,0.000604554952588,0.00056178367231,0.998833715916
id12009,0.82348459959,0.0921353697777,0.0843800380826
id24241,0.123500362039,0.383278697729,0.493220984936
id03596,0.000682160607539,0.999277412891,4.04360689572e-05
id10749,0.0102078327909,0.977870583534,0.0119216414168
id22794,0.000536697159987,0.00086193945026,0.99860137701
id15482,0.0735941007733,0.592021048069,0.334384858608
id04833,0.983860492706,0.0127431359142,0.00339630502276
id00397,7.28873601474e-06,1.3317715819e-09,0.999992728233
id14691,0.00109952909406,0.0771616399288,0.921738862991
id05193,0.198581829667,0.0235957670957,0.777822434902
id19541,0.999790251255,0.000171540450538,3.82162470487e-05
id22166,8.1868696725e-05,1.45795165736e-05,0.999903559685
id20744,0.000315565004712,3.24943903252e-05,0.999651908875
id10392,1.78601057554e-11,3.32118958113e-07,0.999999642372
id00770,0.998889744282,0.000436839967733,0.000673352798913
id06018,0.207951694727,0.776526153088,0.0155221149325
id15678,0.82899492979,0.00487548019737,0.166129544377
id08305,0.896857440472,0.0732802674174,0.0298622697592
id08903,0.68774831295,0.0170106384903,0.295241087675
id14752,0.78288936615,0.206172168255,0.0109384730458
id12468,0.0723996460438,0.92683917284,0.000761295959819
id05085,0.585407137871,0.315528392792,0.099064424634
id21993,0.237654983997,0.0102238338441,0.752121210098
id15503,0.962672829628,0.0274083465338,0.00991879589856
id03021,6.04175767194e-08,0.999912858009,8.69815266924e-05
id16123,0.999885439873,0.000108066989924,6.48007517157e-06
id19383,0.999660730362,0.000194120177184,0.000145123311086
id04186,0.996678113937,3.59429104719e-05,0.00328585226089
id17954,8.83541270014e-06,3.65532218893e-06,0.999987483025
id12030,0.331372052431,0.00750633468851,0.661121547222
id13020,0.986927688122,0.0113124083728,0.00175990804564
id25327,0.000210453450563,0.996023058891,0.00376650504768
id16344,0.19838181138,0.0838464573026,0.717771708965
id12303,0.0981934517622,0.89985781908,0.00194872915745
id15017,0.999862074852,0.000137962255394,1.73992784624e-08
id22308,0.232690945268,0.0353452451527,0.731963813305
id06536,0.00446859560907,0.148800715804,0.846730649471
id19797,0.144115030766,0.746959805489,0.108925126493
id06332,0.397408902645,0.364658683538,0.237932428718
id22941,0.046384498477,0.140783339739,0.812832117081
id13547,0.00268821138889,0.0498161017895,0.947495758533
id06928,0.00662387534976,0.000285361806164,0.993090748787
id12521,0.952358186245,0.0412760712206,0.00636572670192
id25716,0.733022212982,0.00471342355013,0.262264311314
